incident_domain,severity_threshold,trigger_sector,backup_sector,backup_activation_delay,priority_level
traffic,5,Police,Ambulance,4,2
security,4,National Guard,Police,9,2
drugs,3,Narcotics Control,Police,12,3
security,3,National Guard,Civil Defense,15,5
civil_defense,4,Civil Defense,Ambulance,11,4
traffic,3,Police,Ambulance,24,2
public_order,4,Police,National Guard,21,3
health,4,Ambulance,Police,7,4
traffic,5,Police,Civil Defense,22,1
traffic,3,Police,Ambulance,24,4
traffic,4,Police,National Guard,9,3
health,4,Ambulance,Police,7,1
traffic,5,Police,Ambulance,7,5
civil_defense,3,Civil Defense,Ambulance,11,4
civil_defense,3,Civil Defense,Ambulance,5,2
drugs,5,Narcotics Control,Police,8,1
public_order,3,Police,National Guard,23,5
public_order,5,Police,Civil Defense,21,5
public_order,3,Police,National Guard,13,1
public_order,5,Police,Civil Defense,23,5
security,3,National Guard,Civil Defense,10,5
drugs,5,Narcotics Control,National Guard,11,1
drugs,3,Narcotics Control,National Guard,11,1
health,5,Ambulance,Police,18,3
health,4,Ambulance,Civil Defense,20,1
public_order,4,Police,Civil Defense,13,3
drugs,5,Narcotics Control,National Guard,5,3
traffic,3,Police,Ambulance,23,5
traffic,4,Police,Ambulance,6,4
civil_defense,4,Civil Defense,Ambulance,9,3
civil_defense,4,Civil Defense,Ambulance,17,1
security,4,National Guard,Police,9,2
security,4,National Guard,Civil Defense,24,4
traffic,5,Police,National Guard,15,3
health,5,Ambulance,Civil Defense,9,2
health,3,Ambulance,Civil Defense,19,3
security,5,National Guard,Police,6,3
traffic,3,Police,Ambulance,15,1
traffic,4,Police,National Guard,21,4
public_order,5,Police,National Guard,10,1
traffic,3,Police,Civil Defense,14,3
health,3,Ambulance,Civil Defense,14,2
public_order,3,Police,National Guard,21,2
public_order,4,Police,Civil Defense,24,3
security,4,National Guard,Police,8,3
civil_defense,4,Civil Defense,Police,16,4
public_order,4,Police,National Guard,10,4
civil_defense,5,Civil Defense,Ambulance,8,1
drugs,5,Narcotics Control,Police,7,5
drugs,3,Narcotics Control,Police,5,2
health,5,Ambulance,Civil Defense,3,3
drugs,5,Narcotics Control,National Guard,14,4
drugs,3,Narcotics Control,Police,9,3
security,3,National Guard,Police,12,1
health,5,Ambulance,Police,12,5
security,3,National Guard,Police,19,4
traffic,5,Police,Ambulance,6,5
civil_defense,4,Civil Defense,Police,11,2
health,4,Ambulance,Police,6,4
traffic,4,Police,Ambulance,20,1
drugs,5,Narcotics Control,National Guard,15,5
drugs,4,Narcotics Control,Police,23,5
civil_defense,3,Civil Defense,Police,24,5
drugs,5,Narcotics Control,National Guard,13,3
security,5,National Guard,Civil Defense,21,3
security,4,National Guard,Police,17,1
public_order,5,Police,National Guard,17,4
security,4,National Guard,Police,8,1
drugs,3,Narcotics Control,National Guard,21,5
public_order,5,Police,Civil Defense,12,2
traffic,5,Police,Ambulance,21,2
security,3,National Guard,Police,17,5
security,4,National Guard,Police,18,4
health,3,Ambulance,Police,23,5
drugs,3,Narcotics Control,Police,3,1
public_order,4,Police,Civil Defense,13,3
civil_defense,3,Civil Defense,Ambulance,16,5
civil_defense,3,Civil Defense,Police,17,1
traffic,4,Police,Ambulance,10,5
health,4,Ambulance,Police,3,4
traffic,3,Police,Ambulance,3,4
security,4,National Guard,Police,17,1
public_order,4,Police,National Guard,5,5
traffic,3,Police,Ambulance,9,1
traffic,4,Police,National Guard,17,4
public_order,3,Police,Civil Defense,15,1
security,3,National Guard,Civil Defense,9,5
civil_defense,3,Civil Defense,Ambulance,9,3
health,5,Ambulance,Police,22,4
civil_defense,4,Civil Defense,Ambulance,6,4
civil_defense,4,Civil Defense,Ambulance,15,3
traffic,3,Police,Ambulance,20,3
civil_defense,4,Civil Defense,Police,9,5
traffic,5,Police,Ambulance,7,1
public_order,3,Police,National Guard,17,1
traffic,3,Police,Civil Defense,14,2
civil_defense,5,Civil Defense,Ambulance,15,5
security,4,National Guard,Civil Defense,22,5
civil_defense,4,Civil Defense,Police,22,5
public_order,3,Police,Civil Defense,13,1
drugs,3,Narcotics Control,National Guard,4,2
