timestamp,sector,geo_area,total_units,total_people_on_shift,active_incidents,utilization_ratio,overload_flag
2025-11-15T16:52:47.110347+00:00,Narcotics Control,AREA_000,44,206,49,1.0,1
2025-11-26T05:52:47.110347+00:00,Ambulance,AREA_007,47,1013,3,0.08,0
2025-11-21T11:46:47.110347+00:00,Narcotics Control,AREA_044,90,1175,7,0.495,0
2025-11-27T14:01:47.110347+00:00,National Guard,AREA_043,134,897,59,1.0,1
2025-11-27T11:36:47.110347+00:00,Ambulance,AREA_030,152,1097,86,0.973,1
2025-11-20T12:42:47.110347+00:00,Police,AREA_032,23,1113,105,1.0,1
2025-11-22T06:12:47.110347+00:00,General Investigation,AREA_026,55,353,31,1.0,1
2025-11-19T02:06:47.110347+00:00,General Investigation,AREA_025,137,330,83,1.0,1
2025-11-26T13:26:47.110347+00:00,Civil Defense,AREA_010,124,783,10,0.0,0
2025-11-28T03:10:47.110347+00:00,General Investigation,AREA_052,34,1000,80,0.96,1
2025-11-30T17:21:47.110347+00:00,National Guard,AREA_021,82,712,10,0.178,0
2025-11-20T01:24:47.110347+00:00,Civil Defense,AREA_014,38,66,50,1.0,1
2025-11-26T10:44:47.110347+00:00,Police,AREA_057,34,292,93,1.0,1
2025-11-19T13:19:47.110347+00:00,Police,AREA_045,160,983,101,1.0,1
2025-11-20T03:33:47.110347+00:00,Narcotics Control,AREA_006,107,171,67,1.0,1
2025-11-25T14:18:47.110347+00:00,Ambulance,AREA_010,113,1106,31,0.686,0
2025-12-04T23:45:47.110347+00:00,National Guard,AREA_037,117,250,90,1.0,1
2025-12-01T04:21:47.110347+00:00,National Guard,AREA_001,16,478,52,1.0,1
2025-11-27T07:57:47.110347+00:00,General Investigation,AREA_038,115,227,13,0.743,0
2025-11-23T07:12:47.110347+00:00,Ambulance,AREA_057,155,850,66,1.0,1
2025-11-28T00:59:47.110347+00:00,Police,AREA_001,128,1159,55,0.942,1
2025-11-24T14:45:47.110347+00:00,Civil Defense,AREA_020,120,237,74,1.0,1
