unit_id,date,shift_start,shift_end,planned_people,overtime_allowed
U000000,2025-11-22,14:00,22:00,10,False
U000001,2025-11-22,14:00,22:00,2,True
U000002,2025-12-01,06:00,14:00,14,False
U000003,2025-11-19,22:00,06:00,8,True
U000004,2025-11-27,14:00,22:00,5,False
U000005,2025-11-20,22:00,06:00,14,True
U000006,2025-12-13,14:00,22:00,11,False
U000007,2025-12-07,22:00,06:00,12,True
U000008,2025-12-01,06:00,14:00,11,False
U000009,2025-11-14,06:00,14:00,16,False
U000010,2025-12-04,14:00,22:00,12,True
U000011,2025-11-19,14:00,22:00,5,False
U000012,2025-11-21,06:00,14:00,9,False
U000013,2025-11-26,06:00,14:00,13,False
U000014,2025-12-09,14:00,22:00,14,False
U000015,2025-11-14,14:00,22:00,15,False
U000016,2025-11-15,06:00,14:00,15,False
U000017,2025-12-08,22:00,06:00,9,True
U000018,2025-11-25,06:00,14:00,3,False
U000019,2025-12-12,14:00,22:00,18,True
U000020,2025-11-27,06:00,14:00,15,False
U000021,2025-12-10,06:00,14:00,6,False
U000022,2025-12-12,06:00,14:00,2,True
U000023,2025-12-04,14:00,22:00,4,True
U000024,2025-12-08,14:00,22:00,11,True
U000025,2025-12-10,06:00,14:00,4,False
U000026,2025-12-01,06:00,14:00,12,True
U000027,2025-11-26,14:00,22:00,15,False
U000028,2025-11-20,22:00,06:00,4,False
U000029,2025-11-24,14:00,22:00,8,False
U000030,2025-11-16,22:00,06:00,8,False
U000031,2025-11-20,14:00,22:00,14,False
U000032,2025-11-24,06:00,14:00,13,False
U000033,2025-11-19,22:00,06:00,19,True
U000034,2025-11-21,22:00,06:00,6,False
U000035,2025-11-23,06:00,14:00,8,False
U000036,2025-11-18,22:00,06:00,17,True
U000037,2025-11-16,06:00,14:00,15,False
U000038,2025-12-01,22:00,06:00,5,False
U000039,2025-11-24,22:00,06:00,7,False
U000040,2025-12-03,22:00,06:00,4,False
U000041,2025-11-21,06:00,14:00,5,False
U000042,2025-11-21,06:00,14:00,14,False
U000043,2025-11-27,06:00,14:00,13,False
U000044,2025-12-02,22:00,06:00,8,True
U000045,2025-11-20,14:00,22:00,12,False
U000046,2025-12-08,06:00,14:00,9,True
U000047,2025-11-15,06:00,14:00,5,False
U000048,2025-12-01,06:00,14:00,6,False
U000049,2025-12-13,06:00,14:00,11,True
U000050,2025-11-17,06:00,14:00,14,False
U000051,2025-12-11,06:00,14:00,13,False
U000052,2025-12-06,14:00,22:00,6,False
U000053,2025-11-19,14:00,22:00,17,False
U000054,2025-11-14,06:00,14:00,6,True
U000055,2025-12-11,14:00,22:00,4,True
U000056,2025-11-27,14:00,22:00,21,True
U000057,2025-11-28,14:00,22:00,13,False
U000058,2025-11-14,22:00,06:00,9,False
U000059,2025-11-29,22:00,06:00,14,False
U000060,2025-12-11,14:00,22:00,4,True
U000061,2025-11-16,22:00,06:00,8,True
U000062,2025-12-08,14:00,22:00,12,False
U000063,2025-11-19,06:00,14:00,16,True
U000064,2025-11-18,06:00,14:00,17,False
U000065,2025-11-17,14:00,22:00,3,False
U000066,2025-11-28,14:00,22:00,21,False
U000067,2025-12-11,06:00,14:00,20,False
U000068,2025-12-02,14:00,22:00,8,True
U000069,2025-11-28,22:00,06:00,8,False
U000070,2025-11-17,22:00,06:00,10,False
U000071,2025-12-02,06:00,14:00,24,False
U000072,2025-11-23,22:00,06:00,5,True
U000073,2025-12-12,22:00,06:00,7,False
U000074,2025-11-19,14:00,22:00,19,False
U000075,2025-12-08,22:00,06:00,11,False
U000076,2025-12-10,06:00,14:00,14,False
U000077,2025-11-28,22:00,06:00,13,False
U000078,2025-11-16,14:00,22:00,19,True
U000079,2025-11-17,22:00,06:00,14,False
U000080,2025-12-09,14:00,22:00,19,False
U000081,2025-11-14,22:00,06:00,3,True
U000082,2025-12-13,22:00,06:00,11,False
U000083,2025-12-03,06:00,14:00,5,True
U000084,2025-11-24,14:00,22:00,6,False
U000085,2025-11-17,14:00,22:00,7,False
U000086,2025-11-28,06:00,14:00,13,True
U000087,2025-12-13,06:00,14:00,6,False
U000088,2025-12-07,06:00,14:00,8,False
U000089,2025-11-16,14:00,22:00,9,True
U000090,2025-11-26,06:00,14:00,4,False
U000091,2025-11-22,22:00,06:00,14,False
U000092,2025-11-27,06:00,14:00,8,False
U000093,2025-12-08,06:00,14:00,15,True
U000094,2025-11-28,14:00,22:00,8,True
U000095,2025-12-07,14:00,22:00,3,False
U000096,2025-12-12,22:00,06:00,13,True
U000097,2025-12-02,06:00,14:00,4,False
U000098,2025-11-23,22:00,06:00,22,False
U000099,2025-12-10,14:00,22:00,7,False
U000100,2025-11-14,06:00,14:00,10,True
U000101,2025-11-30,06:00,14:00,17,True
U000102,2025-12-01,06:00,14:00,8,False
U000103,2025-12-05,22:00,06:00,5,False
U000104,2025-11-29,06:00,14:00,12,False
U000105,2025-11-25,14:00,22:00,10,True
U000106,2025-12-13,14:00,22:00,14,True
U000107,2025-11-21,14:00,22:00,8,True
U000108,2025-12-01,22:00,06:00,17,True
U000109,2025-12-05,06:00,14:00,5,True
U000110,2025-11-30,22:00,06:00,5,False
U000111,2025-11-28,06:00,14:00,5,False
U000112,2025-12-11,14:00,22:00,10,False
U000113,2025-12-12,14:00,22:00,13,False
U000114,2025-11-24,22:00,06:00,2,False
U000115,2025-11-24,22:00,06:00,2,False
U000116,2025-11-30,22:00,06:00,5,False
U000117,2025-11-18,06:00,14:00,2,True
U000118,2025-11-29,22:00,06:00,18,False
U000119,2025-11-27,06:00,14:00,16,False
U000120,2025-12-04,22:00,06:00,12,False
U000121,2025-12-07,22:00,06:00,7,True
U000122,2025-12-05,22:00,06:00,4,True
U000123,2025-12-06,06:00,14:00,4,True
U000124,2025-11-27,14:00,22:00,14,True
U000125,2025-11-15,22:00,06:00,20,False
U000126,2025-11-29,14:00,22:00,15,True
U000127,2025-12-03,14:00,22:00,2,False
U000128,2025-11-18,14:00,22:00,16,False
U000129,2025-11-30,06:00,14:00,6,False
U000130,2025-11-27,14:00,22:00,16,False
U000131,2025-12-02,22:00,06:00,13,False
U000132,2025-11-15,22:00,06:00,5,False
U000133,2025-12-06,22:00,06:00,5,False
U000134,2025-11-28,14:00,22:00,12,True
U000135,2025-11-28,06:00,14:00,7,True
U000136,2025-12-02,14:00,22:00,12,False
U000137,2025-12-05,14:00,22:00,7,False
U000138,2025-12-05,06:00,14:00,10,False
U000139,2025-12-01,22:00,06:00,6,False
U000140,2025-12-13,22:00,06:00,4,False
U000141,2025-12-13,06:00,14:00,10,False
U000142,2025-12-02,14:00,22:00,8,False
U000143,2025-11-19,14:00,22:00,10,False
U000144,2025-12-01,06:00,14:00,10,True
U000145,2025-11-26,22:00,06:00,20,False
U000146,2025-11-16,06:00,14:00,16,False
U000147,2025-11-23,22:00,06:00,9,True
U000148,2025-12-10,06:00,14:00,13,False
U000149,2025-11-15,22:00,06:00,20,False
U000150,2025-11-27,14:00,22:00,7,True
U000151,2025-11-16,14:00,22:00,20,False
U000152,2025-11-16,14:00,22:00,5,False
U000153,2025-11-19,14:00,22:00,7,True
U000154,2025-11-29,06:00,14:00,18,False
U000155,2025-12-03,14:00,22:00,13,False
U000156,2025-12-11,22:00,06:00,22,True
U000157,2025-11-18,14:00,22:00,11,False
U000158,2025-11-15,14:00,22:00,10,False
U000159,2025-11-21,22:00,06:00,18,False
U000160,2025-11-23,14:00,22:00,8,True
U000161,2025-11-20,22:00,06:00,14,False
U000162,2025-12-08,14:00,22:00,15,False
U000163,2025-11-19,22:00,06:00,4,True
U000164,2025-11-17,06:00,14:00,20,False
U000165,2025-11-27,22:00,06:00,16,False
U000166,2025-11-16,06:00,14:00,5,False
U000167,2025-12-06,22:00,06:00,8,False
U000168,2025-11-25,22:00,06:00,5,True
U000169,2025-11-16,14:00,22:00,13,False
U000170,2025-11-26,22:00,06:00,12,True
U000171,2025-11-25,22:00,06:00,3,False
U000172,2025-12-07,14:00,22:00,7,False
U000173,2025-12-04,06:00,14:00,3,False
U000174,2025-12-02,22:00,06:00,2,False
U000175,2025-11-14,22:00,06:00,11,False
U000176,2025-11-20,22:00,06:00,18,False
U000177,2025-11-17,06:00,14:00,9,False
U000178,2025-11-30,14:00,22:00,21,False
U000179,2025-11-14,06:00,14:00,2,False
U000180,2025-12-10,06:00,14:00,6,False
U000181,2025-12-08,22:00,06:00,21,False
U000182,2025-12-09,06:00,14:00,7,True
U000183,2025-11-25,14:00,22:00,8,False
U000184,2025-12-08,14:00,22:00,11,True
U000185,2025-11-24,06:00,14:00,6,False
U000186,2025-11-23,14:00,22:00,16,False
U000187,2025-11-24,14:00,22:00,12,True
U000188,2025-12-01,22:00,06:00,14,False
U000189,2025-11-22,22:00,06:00,5,False
U000190,2025-12-01,06:00,14:00,9,False
U000191,2025-11-23,06:00,14:00,8,False
U000192,2025-12-05,06:00,14:00,2,False
U000193,2025-12-10,14:00,22:00,2,False
U000194,2025-11-28,06:00,14:00,14,True
U000195,2025-11-29,14:00,22:00,9,False
U000196,2025-11-30,14:00,22:00,5,False
U000197,2025-11-25,14:00,22:00,18,False
U000198,2025-12-02,06:00,14:00,9,False
U000199,2025-11-17,22:00,06:00,13,False
U000200,2025-12-12,22:00,06:00,9,True
U000201,2025-12-12,14:00,22:00,20,False
U000202,2025-12-09,22:00,06:00,6,False
U000203,2025-11-23,14:00,22:00,19,False
U000204,2025-12-05,06:00,14:00,5,False
U000205,2025-12-04,22:00,06:00,4,False
U000206,2025-11-26,22:00,06:00,15,False
U000207,2025-11-21,14:00,22:00,7,False
U000208,2025-12-13,06:00,14:00,5,True
U000209,2025-11-19,14:00,22:00,3,False
U000210,2025-11-22,14:00,22:00,8,False
U000211,2025-11-28,06:00,14:00,11,False
U000212,2025-11-26,06:00,14:00,17,False
U000213,2025-11-23,22:00,06:00,8,True
U000214,2025-11-23,06:00,14:00,11,False
U000215,2025-12-13,06:00,14:00,15,True
U000216,2025-11-15,06:00,14:00,4,False
U000217,2025-11-25,06:00,14:00,4,False
U000218,2025-11-21,22:00,06:00,13,False
U000219,2025-12-07,14:00,22:00,3,False
U000220,2025-11-22,14:00,22:00,18,False
U000221,2025-11-20,22:00,06:00,15,False
U000222,2025-11-26,06:00,14:00,7,False
U000223,2025-11-19,06:00,14:00,4,False
U000224,2025-12-01,06:00,14:00,20,False
U000225,2025-11-19,06:00,14:00,12,False
U000226,2025-11-25,22:00,06:00,4,False
U000227,2025-12-04,06:00,14:00,17,True
U000228,2025-11-25,22:00,06:00,12,True
U000229,2025-11-23,06:00,14:00,9,False
U000230,2025-12-01,22:00,06:00,9,True
U000231,2025-12-04,22:00,06:00,5,False
U000232,2025-12-03,06:00,14:00,16,False
U000233,2025-11-18,06:00,14:00,15,True
U000234,2025-11-14,14:00,22:00,11,False
U000235,2025-11-27,14:00,22:00,12,False
U000236,2025-11-18,06:00,14:00,6,False
U000237,2025-11-20,22:00,06:00,10,False
U000238,2025-12-09,06:00,14:00,10,False
U000239,2025-11-20,14:00,22:00,3,False
U000240,2025-11-14,06:00,14:00,8,False
U000241,2025-12-01,22:00,06:00,12,False
U000242,2025-11-25,22:00,06:00,7,True
U000243,2025-12-13,06:00,14:00,18,False
U000244,2025-11-26,22:00,06:00,17,False
U000245,2025-12-06,22:00,06:00,3,False
U000246,2025-11-20,22:00,06:00,7,False
U000247,2025-12-08,14:00,22:00,12,True
U000248,2025-11-17,14:00,22:00,3,True
U000249,2025-12-05,14:00,22:00,19,False
U000250,2025-11-23,22:00,06:00,8,False
U000251,2025-11-21,06:00,14:00,16,False
U000252,2025-11-29,06:00,14:00,20,False
U000253,2025-11-15,14:00,22:00,11,False
U000254,2025-12-07,22:00,06:00,12,False
U000255,2025-12-12,14:00,22:00,12,False
U000256,2025-11-28,22:00,06:00,12,False
U000257,2025-11-25,06:00,14:00,5,True
U000258,2025-12-09,22:00,06:00,11,False
U000259,2025-11-29,14:00,22:00,3,False
U000260,2025-11-28,22:00,06:00,16,False
U000261,2025-11-29,06:00,14:00,12,False
U000262,2025-11-18,06:00,14:00,14,False
U000263,2025-12-12,22:00,06:00,13,False
U000264,2025-12-11,14:00,22:00,15,True
U000265,2025-12-08,22:00,06:00,8,True
U000266,2025-11-16,22:00,06:00,10,True
U000267,2025-11-21,22:00,06:00,19,True
U000268,2025-12-02,06:00,14:00,14,False
U000269,2025-12-05,22:00,06:00,12,False
U000270,2025-12-12,06:00,14:00,15,False
U000271,2025-12-04,06:00,14:00,8,False
U000272,2025-12-02,06:00,14:00,19,True
U000273,2025-12-04,22:00,06:00,8,False
U000274,2025-12-03,14:00,22:00,5,False
U000275,2025-12-08,14:00,22:00,3,False
U000276,2025-12-01,14:00,22:00,13,False
U000277,2025-12-05,06:00,14:00,2,True
U000278,2025-11-23,14:00,22:00,11,True
U000279,2025-12-03,22:00,06:00,13,False
U000280,2025-11-18,06:00,14:00,14,False
U000281,2025-12-09,22:00,06:00,6,False
U000282,2025-11-24,22:00,06:00,11,True
U000283,2025-11-30,06:00,14:00,9,False
U000284,2025-11-14,14:00,22:00,18,False
U000285,2025-11-25,22:00,06:00,8,False
U000286,2025-11-25,22:00,06:00,7,False
U000287,2025-12-11,06:00,14:00,13,False
U000288,2025-11-26,22:00,06:00,16,True
U000289,2025-11-24,06:00,14:00,6,False
U000290,2025-11-26,06:00,14:00,14,True
U000291,2025-12-05,06:00,14:00,3,False
U000292,2025-11-28,14:00,22:00,2,False
U000293,2025-12-02,06:00,14:00,21,True
U000294,2025-11-26,06:00,14:00,20,False
U000295,2025-11-29,06:00,14:00,3,True
U000296,2025-12-01,06:00,14:00,10,False
U000297,2025-11-29,14:00,22:00,14,False
U000298,2025-12-13,14:00,22:00,11,False
U000299,2025-12-07,22:00,06:00,3,True
U000300,2025-12-09,14:00,22:00,4,True
U000301,2025-12-08,06:00,14:00,16,True
U000302,2025-12-03,14:00,22:00,5,False
U000303,2025-11-25,22:00,06:00,12,True
U000304,2025-11-29,14:00,22:00,5,False
U000305,2025-12-09,22:00,06:00,14,True
U000306,2025-11-21,14:00,22:00,4,True
U000307,2025-11-18,14:00,22:00,5,False
U000308,2025-12-07,06:00,14:00,16,False
U000309,2025-11-21,06:00,14:00,4,True
U000310,2025-11-26,14:00,22:00,8,False
U000311,2025-11-14,06:00,14:00,10,True
U000312,2025-11-15,14:00,22:00,7,False
U000313,2025-12-06,06:00,14:00,6,False
U000314,2025-11-22,22:00,06:00,7,False
U000315,2025-11-19,06:00,14:00,22,False
U000316,2025-11-22,14:00,22:00,2,False
U000317,2025-12-13,14:00,22:00,17,True
U000318,2025-11-18,22:00,06:00,12,False
U000319,2025-11-24,22:00,06:00,5,False
U000320,2025-11-30,14:00,22:00,19,False
U000321,2025-12-07,06:00,14:00,3,False
U000322,2025-11-26,14:00,22:00,4,True
U000323,2025-12-01,22:00,06:00,7,False
U000324,2025-11-27,22:00,06:00,12,False
U000325,2025-12-02,22:00,06:00,9,False
U000326,2025-12-13,14:00,22:00,9,False
U000327,2025-12-11,22:00,06:00,18,True
U000328,2025-11-15,22:00,06:00,14,True
U000329,2025-11-23,06:00,14:00,4,False
U000330,2025-11-18,14:00,22:00,12,True
U000331,2025-11-28,06:00,14:00,11,True
U000332,2025-11-26,14:00,22:00,23,False
U000333,2025-11-16,06:00,14:00,16,False
U000334,2025-12-09,22:00,06:00,21,False
U000335,2025-11-29,06:00,14:00,5,False
U000336,2025-12-11,14:00,22:00,13,True
U000337,2025-11-30,06:00,14:00,3,False
U000338,2025-11-29,22:00,06:00,5,False
U000339,2025-12-13,14:00,22:00,24,True
U000340,2025-11-25,06:00,14:00,5,False
U000341,2025-11-30,14:00,22:00,6,False
U000342,2025-11-30,14:00,22:00,12,True
U000343,2025-11-15,14:00,22:00,2,False
U000344,2025-12-10,22:00,06:00,9,False
U000345,2025-12-06,06:00,14:00,10,False
U000346,2025-12-09,14:00,22:00,4,False
U000347,2025-11-16,14:00,22:00,7,True
U000348,2025-11-24,14:00,22:00,12,False
U000349,2025-11-29,06:00,14:00,14,False
U000350,2025-12-07,14:00,22:00,2,False
U000351,2025-12-09,22:00,06:00,15,True
U000352,2025-11-23,14:00,22:00,3,False
U000353,2025-12-13,06:00,14:00,8,False
U000354,2025-11-18,22:00,06:00,22,False
U000355,2025-12-06,14:00,22:00,4,False
U000356,2025-11-16,22:00,06:00,18,False
U000357,2025-12-02,14:00,22:00,11,False
U000358,2025-11-16,22:00,06:00,8,False
U000359,2025-11-17,22:00,06:00,10,True
U000360,2025-12-10,06:00,14:00,20,True
U000361,2025-11-15,22:00,06:00,14,True
U000362,2025-11-15,22:00,06:00,12,True
U000363,2025-11-21,22:00,06:00,2,True
U000364,2025-12-10,22:00,06:00,3,False
U000365,2025-11-27,22:00,06:00,12,False
U000366,2025-12-05,06:00,14:00,23,False
U000367,2025-12-11,14:00,22:00,9,False
U000368,2025-12-06,14:00,22:00,3,True
U000369,2025-12-07,22:00,06:00,15,False
U000370,2025-12-02,14:00,22:00,22,True
U000371,2025-12-08,22:00,06:00,2,True
U000372,2025-11-27,06:00,14:00,11,False
U000373,2025-11-23,22:00,06:00,19,False
U000374,2025-11-26,14:00,22:00,15,False
U000375,2025-11-20,22:00,06:00,17,False
U000376,2025-11-26,06:00,14:00,9,False
U000377,2025-11-21,22:00,06:00,11,False
U000378,2025-11-29,22:00,06:00,14,False
U000379,2025-11-15,22:00,06:00,24,False
U000380,2025-11-18,14:00,22:00,3,False
U000381,2025-12-12,14:00,22:00,5,False
U000382,2025-11-21,06:00,14:00,2,False
U000383,2025-11-17,14:00,22:00,12,False
U000384,2025-11-25,06:00,14:00,13,False
U000385,2025-12-01,22:00,06:00,10,False
U000386,2025-11-25,06:00,14:00,3,False
U000387,2025-11-30,22:00,06:00,2,False
U000388,2025-12-09,22:00,06:00,11,True
U000389,2025-11-23,14:00,22:00,8,False
U000390,2025-12-02,22:00,06:00,6,False
U000391,2025-12-07,14:00,22:00,12,False
U000392,2025-12-11,06:00,14:00,12,False
U000393,2025-11-26,22:00,06:00,13,False
U000394,2025-12-12,22:00,06:00,7,False
U000395,2025-12-10,14:00,22:00,5,False
U000396,2025-12-05,22:00,06:00,18,False
U000397,2025-11-28,14:00,22:00,18,False
U000398,2025-11-25,22:00,06:00,5,False
U000399,2025-11-29,06:00,14:00,9,False
U000400,2025-12-03,06:00,14:00,16,False
U000401,2025-11-24,14:00,22:00,3,False
U000402,2025-12-13,22:00,06:00,4,False
U000403,2025-12-04,06:00,14:00,10,True
U000404,2025-11-19,22:00,06:00,22,True
U000405,2025-11-26,14:00,22:00,3,False
U000406,2025-12-01,06:00,14:00,4,False
U000407,2025-11-24,06:00,14:00,13,False
U000408,2025-12-08,22:00,06:00,18,False
U000409,2025-12-05,06:00,14:00,19,False
U000410,2025-12-11,14:00,22:00,11,False
U000411,2025-12-09,14:00,22:00,11,False
U000412,2025-12-08,22:00,06:00,2,False
U000413,2025-12-11,22:00,06:00,16,True
U000414,2025-11-26,14:00,22:00,16,True
U000415,2025-11-23,06:00,14:00,6,False
U000416,2025-12-05,14:00,22:00,23,True
U000417,2025-11-16,06:00,14:00,9,False
U000418,2025-12-10,22:00,06:00,7,False
U000419,2025-12-03,14:00,22:00,19,True
U000420,2025-12-09,22:00,06:00,21,False
U000421,2025-11-17,06:00,14:00,5,False
