unit_id,skill_name,proficiency_level,years_experience,incidents_handled_count,success_rate
U007242,drug_raid,3,7.71,195,1.0
U015515,hostage,3,8.6,274,0.98
U040951,hostage,4,4.48,291,0.414
U019292,traffic_control,4,5.97,256,0.734
U047509,medical_emergency,3,14.38,255,0.525
U041332,weapons,2,11.29,271,0.545
U015712,investigation,3,6.67,341,0.457
U044224,tactical,3,6.2,100,0.931
U022831,hostage,4,5.34,144,0.535
U025649,negotiation,3,8.28,2,0.785
U003246,investigation,1,4.47,280,0.701
U004272,triage,2,0.85,284,0.669
U008276,drug_raid,5,12.1,202,0.672
U019837,medical_emergency,5,2.74,218,0.678
U020067,triage,2,1.79,348,0.93
U029066,tactical,4,6.77,89,0.732
U021296,medical_emergency,1,1.64,135,1.0
U000187,tactical,4,8.21,180,0.849
U003966,negotiation,4,13.01,396,0.767
U019314,fire_response,5,4.3,358,0.557
U027394,weapons,3,4.31,224,0.794
U029490,fire_response,5,14.22,135,0.696
U045576,crowd_control,5,9.41,301,0.5
U019126,triage,2,8.14,173,0.529
U026615,triage,3,7.83,318,0.733
U001838,medical_emergency,4,10.79,148,0.729
U024919,rescue,3,12.16,232,0.643
U009666,negotiation,4,10.78,225,0.778
U041216,investigation,3,11.28,217,0.768
U022751,weapons,1,6.81,242,0.378
U044929,negotiation,2,10.24,236,0.728
U005457,medical_emergency,2,1.49,162,0.548
U029216,negotiation,3,7.57,159,0.763
U026419,fire_response,5,4.64,175,0.377
U025229,negotiation,2,1.84,148,0.722
U013863,drug_raid,5,0.04,175,0.818
U008971,investigation,2,13.31,296,0.762
U013932,crowd_control,5,12.28,89,0.76
U013477,rescue,4,6.22,139,0.789
U025746,weapons,4,10.49,201,0.905
U035658,weapons,1,9.93,173,0.638
U004877,drug_raid,1,9.01,189,0.745
U045549,fire_response,3,11.46,160,0.531
U048657,traffic_control,2,7.47,362,0.662
U005937,triage,3,5.87,184,0.758
U044970,drug_raid,2,12.54,148,0.735
U026391,triage,2,11.4,276,0.637
U039554,medical_emergency,3,2.4,324,0.881
U015578,rescue,1,9.18,360,0.665
U011838,weapons,1,0.47,352,0.843
U006518,traffic_control,4,9.83,331,0.556
U047707,medical_emergency,1,13.49,215,0.532
U049109,negotiation,2,11.13,152,0.524
U043475,negotiation,1,8.99,205,0.601
U018007,negotiation,2,14.69,121,0.745
U044995,weapons,1,2.93,265,1.0
U026616,medical_emergency,2,13.09,52,0.413
U028770,negotiation,5,3.5,236,0.681
U038648,drug_raid,4,14.01,121,0.803
U016739,crowd_control,1,5.17,107,0.896
